Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2.106993738099399,2.0846145183772093,1.8765570708705452,1.4105532679287862,2.7984067610638452,1.442700555820292,1.5085577721976715,1.1201320077431292,1.9495104252825077,1.2107668927852295,1.6015952178608572,1.9068937504837555,2.191930731776237,1.9221579920120273,1.2761049384316616,1.08388446895536,2.210773935596491,1.1949892368451576,0.7564877489021238,1.2460315511857976,1.087150174047652,2.4072333203041527
1,2.258018484643731,1.4385892499215458,2.1250318638964214,2.7719594768553155,3.35025843828454,1.7432828398695643,1.5904998286258165,1.6353666358849461,2.085011969608284,0.9859691673017155,2.165930281399124,1.9170848643869585,1.8002320873587403,1.6102065838046267,0.9770674853536578,1.394187865481354,1.9776138711983104,1.2503273404702444,1.051002330741141,1.0262446430386576,1.201810988272079,2.518987199958204
2,2.331968480739985,1.3011369902879555,1.9108696033872403,2.6937690106786913,2.3183786367200154,1.762536122097913,1.804946725571395,2.1806886380154196,2.095831053869728,0.9230711640181688,2.5173747942607783,2.213052397186892,1.4578490778588682,1.2275308377535603,1.5853809474676384,1.099252379634951,1.1620719422689734,1.2107440337399906,1.105161298996601,1.747392526898261,1.068711058169968,2.4880418160888254
3,2.101482345288861,1.2415399187543725,1.4636332024495364,2.7688078181007727,2.531956621064188,1.8437257397253801,0.9619059894109915,2.398330803092734,2.191371682840588,1.4652302866671252,1.4985175513729043,2.1113917665534476,1.8697015212634986,0.8092009622215083,1.5656640335944731,1.034382217995144,1.2679332909649035,0.5780976155305486,0.906097050145725,1.4759768164289313,1.118536175711573,2.4094709353701633
4,1.6965990335231163,1.736987179437332,1.8117897684635589,2.583319898232205,1.826053220127946,1.9672277593205534,1.5138973713743784,1.9582539744341496,2.527038709571378,1.1548807671745087,1.3420262104318854,1.2342343704098566,2.2184542563993697,1.5416060685428634,1.5800301499809417,1.5368015337411682,1.5289780917669276,0.9724405211006757,0.5890914548085519,1.1690912146206554,1.1675276378476576,1.7194541603361462
5,0.9336597120651404,1.3868404698082988,2.054866265750495,3.2172650173226582,0.762159592285851,1.6093760184509167,1.1823849907605908,1.341796275289085,3.0356730213605574,1.0725527321497927,1.701741289641668,0.9427391424250392,2.0385638404452595,1.2504410917915,1.3369135114695991,1.5934274224435636,1.5417930790819165,1.1072674883102485,0.6588408778095153,1.30283998901481,1.2005917793190628,1.909148767960425
6,1.5209461116465897,0.9195623246019184,2.0511404527378954,2.941852842985425,0.9128854020662712,1.5501402853078357,1.359367134134724,1.6809451001150935,3.5324650059078855,1.4861529953111199,1.6875636647880488,1.3557663015898416,1.8520380233727272,1.2470040301371066,1.687312706099829,1.7956552083144621,1.0228509995196897,1.1406917534709042,0.9872137975367322,1.7808880710973076,1.910042670279488,1.771857098558097
7,1.827961392668412,1.9594804429311707,2.086996265570583,2.732652903124088,0.9773577194113122,1.644151858426701,1.8762674312758507,2.1436426277097422,3.5916349488871067,2.2112595000964412,1.3867035777339796,1.6450866558852155,1.6316560583414514,1.142258992126115,1.5277518604327858,1.8925068127652305,1.017852213511687,1.1077947904093781,0.9738722006412043,1.5647298858598513,1.6847439820225774,1.4431612257567539
8,1.7662090208431989,1.2405292424344216,2.1296220291730097,2.2251016273462785,0.9865105998879705,2.0100042849773256,1.5777416746743314,2.183997907494848,4.40858023450407,2.5293870405333934,0.9534109442178087,1.3035874605660651,1.8663956779281106,1.4570288407348149,1.02759748391218,1.6066368560850233,1.090483607443167,1.026464706047577,0.8329016251113333,1.5698751030640878,2.0244004118690264,1.381497675899312
9,2.0778546194062346,1.0447218974499,2.0685730861429295,1.380494410689938,0.8177961075110459,1.8407467528781063,2.016680378203915,1.8732559774338564,2.571048773510828,3.2153380367594475,1.696206951064237,1.0344802337564771,2.0579293128128873,1.253348668753103,0.970837537316901,1.2199054329446986,1.431247086458208,0.9523261136305299,0.7954655062036882,2.118107034545088,2.5757642968409624,2.102089655280389
